,Name,Price,Kms_driven,Fuel_type,Year,Company
850,Hyundai i20 Asta,650000,52000,Diesel,2015,Hyundai
851,Maruti Suzuki Swift,650000,35000,Petrol,2018,Maruti
852,Renault Kwid RXT,290000,41000,Petrol,2016,Renault
853,Tata Indigo LX,74999,125000,Diesel,2003,Tata
854,Maruti Suzuki Alto,155000,85000,Petrol,2006,Maruti
855,Chevrolet Optra,69000,85000,Petrol,2005,Chevrolet
856,Hyundai Grand i10,496199,21790,Petrol,2018,Hyundai
857,Maruti Suzuki Wagon,298599,75822,Petrol,2011,Maruti
858,Tata Tiago,490199,28589,Petrol,2016,Tata
859,Renault Kwid,422999,15883,Petrol,2017,Renault
860,Hyundai Elite i20,656399,63648,Petrol,2016,Hyundai
861,Maruti Suzuki Vitara,688599,156931,Diesel,2016,Maruti
862,Maruti Suzuki XL6,1113299,13829,Petrol,2019,Maruti
863,Maruti Suzuki Baleno,608399,28361,Petrol,2016,Maruti
864,Hyundai Grand i10,587399,77960,Petrol,2017,Hyundai
865,Maruti Suzuki Celerio,449699,33473,Petrol,2015,Maruti
866,Maruti Suzuki Eeco,464899,29052,Petrol,2019,Maruti
867,Maruti Suzuki Alto,302699,68041,Petrol,2017,Maruti
868,Maruti Suzuki Baleno,583299,61361,Petrol,2015,Maruti
869,Honda BRV,877999,32218,Petrol,2018,Honda
870,Hyundai i10 Magna,398499,28579,Petrol,2016,Hyundai
871,Hyundai Grand i10,529399,51343,Petrol,2017,Hyundai
872,Chevrolet Optra,69000,85000,Petrol,2005,Chevrolet
873,Honda City 1.5,700000,86868,Petrol,2016,Honda
874,Hyundai Accent,79000,85000,Petrol,2002,Hyundai
875,Maruti Suzuki Swift,390000,77000,Petrol,2012,Maruti
876,Honda City V,950000,35500,Petrol,2017,Honda
877,Toyota Glanza G,725000,19942,Petrol,2019,Toyota
878,Hyundai i20 Sportz,439000,16000,Petrol,2012,Hyundai
879,Honda City ZX,1069999,54000,CNG,2018,Honda
880,Renault Kwid RxL,422299,17357,Petrol,2019,Renault
881,Ford Figo Aspire,589999,14517,Petrol,2017,Ford
882,Maruti Suzuki Baleno,661299,13517,Petrol,2017,Maruti
883,Maruti Suzuki Wagon,429099,42302,Petrol,2017,Maruti
884,Maruti Suzuki Celerio,389399,65783,Petrol,2015,Maruti
885,Renault Lodgy,629799,138716,Diesel,2015,Renault
886,Hyundai i10 Sportz,397299,43339,Petrol,2013,Hyundai
887,Maruti Suzuki Ignis,546399,19526,Petrol,2018,Maruti
888,Maruti Suzuki Alto,412999,25673,Petrol,2016,Maruti
889,Maruti Suzuki Celerio,402799,93304,Petrol,2016,Maruti
890,Hyundai Creta,915699,94409,Diesel,2019,Hyundai
891,Maruti Suzuki Celerio,361499,66799,Petrol,2014,Maruti
892,Hyundai EON,357899,27339,Petrol,2016,Hyundai
893,Renault Kwid,475399,9095,Petrol,2018,Renault
894,Maruti Suzuki Eeco,485299,21934,Petrol,2019,Maruti
895,Maruti Suzuki Baleno,643599,51706,Petrol,2016,Maruti
896,Honda City ZX,1069999,54000,CNG,2018,Honda
897,Honda City ZX,1069999,54000,CNG,2018,Honda
898,Honda City ZX,1069999,54000,CNG,2018,Honda
899,Hyundai i20 Asta,255000,90000,Petrol,2009,Hyundai
900,Tata Hexa,1500000,85000,Diesel,2019,Tata
901,Mahindra XUV 500,650000,89000,Diesel,2014,Mahindra
902,Hyundai Santro Xing,175000,45000,Petrol,2010,Hyundai
903,Honda WRV VX,735000,34000,Petrol,2018,Honda
904,Maruti Suzuki Wagon,438199,31281,Petrol,2018,Maruti
905,Honda City,924599,46312,Petrol,2019,Honda
906,Hyundai Elite i20,664099,32989,Petrol,2018,Hyundai
907,Renault Kwid,462299,50599,Petrol,2018,Renault
908,Honda Brio,438499,26127,Petrol,2016,Honda
909,Maruti Suzuki Vitara,680999,58118,Diesel,2016,Maruti
910,Maruti Suzuki Alto,393199,23534,Petrol,2019,Maruti
911,Maruti Suzuki Baleno,646799,58978,Petrol,2018,Maruti
912,Maruti Suzuki Wagon,349999,33103,Petrol,2014,Maruti
913,Maruti Suzuki Eeco,419599,14600,Petrol,2018,Maruti
914,Maruti Suzuki Baleno,585099,26049,Petrol,2016,Maruti
915,Ford Freestyle,627799,33895,Diesel,2018,Ford
916,Volkswagen Polo,520799,32893,Petrol,2017,Volkswagen
917,Maruti Suzuki Swift,410199,61717,Petrol,2013,Maruti
918,Maruti Suzuki Wagon,404399,82334,Petrol,2017,Maruti
919,Hyundai Verna,682799,87381,Petrol,2017,Hyundai
920,Land Rover Range,4490000,51000,Diesel,2017,Land
921,Honda City ZX,150000,85000,Petrol,2008,Honda
922,Toyota Innova 2.5,1175000,210000,Diesel,2013,Toyota
923,Maruti Suzuki Ciaz,975000,24200,Petrol,2019,Maruti
924,MG Motors Hector,2000000,28000,Diesel,2021,MG
925,Mahindra Bolero ZLX,535000,135000,Diesel,2012,Mahindra
926,Ford Ecosport,1045799,34642,Petrol,2019,Ford
927,Maruti Suzuki Swift,410199,154104,Petrol,2013,Maruti
928,Maruti Suzuki Alto,297299,61826,Petrol,2016,Maruti
929,Tata Nexon,980199,44751,Diesel,2018,Tata
930,Honda Jazz,794299,5183,Petrol,2019,Honda
931,Maruti Suzuki Swift,411899,136082,Diesel,2012,Maruti
932,Maruti Suzuki Celerio,557399,5817,Petrol,2019,Maruti
933,Hyundai Creta,896099,99138,Diesel,2015,Hyundai
934,Honda Jazz,637699,27936,Petrol,2016,Honda
935,Maruti Suzuki Alto,254499,39845,Petrol,2014,Maruti
936,Maruti Suzuki Eeco,457699,15615,Petrol,2019,Maruti
937,Honda Brio,361599,53158,Petrol,2012,Honda
938,Maruti Suzuki Baleno,675799,16002,Petrol,2019,Maruti
939,Maruti Suzuki Wagon,389499,31133,Petrol,2015,Maruti
940,Maruti Suzuki Baleno,625599,20172,Petrol,2016,Maruti
941,Volkswagen Polo,686999,69653,Petrol,2013,Volkswagen
942,Maruti Suzuki Celerio,425000,75000,Petrol,2015,Maruti
943,Renault Pulse RxL,350000,132000,Diesel,2012,Renault
944,Skoda Rapid 1.5,560000,84000,Diesel,2014,Skoda
945,Maruti Suzuki SX4,250000,147000,Petrol,2007,Maruti
946,Hyundai Santro GLS,90000,61000,Petrol,2008,Hyundai
947,Hyundai i10 Era,200000,56000,Petrol,2012,Hyundai
948,Mahindra KUV100 K4,325000,108000,Diesel,2018,Mahindra
949,Hyundai i20 Era,620000,55000,Diesel,2018,Hyundai
950,Volkswagen Ameo Comfortline,519699,26023,Petrol,2017,Volkswagen
951,Maruti Suzuki Alto,324599,19805,Petrol,2018,Maruti
952,Maruti Suzuki Alto,340199,41365,Petrol,2017,Maruti
953,Ford Ecosport,693999,90001,Diesel,2017,Ford
954,Hyundai EON Era,310999,45285,Petrol,2016,Hyundai
955,Maruti Suzuki Ciaz,722199,42441,Petrol,2016,Maruti
956,Maruti Suzuki Celerio,485099,24342,Petrol,2016,Maruti
957,Maruti Suzuki Dzire,614999,14308,Petrol,2017,Maruti
958,Maruti Suzuki Vitara,1061399,32456,Diesel,2018,Maruti
959,Maruti Suzuki S,879699,58448,Diesel,2018,Maruti
960,Maruti Suzuki Ertiga,755199,86576,Diesel,2016,Maruti
961,Ford Ecosport,816399,50421,Petrol,2018,Ford
962,Maruti Suzuki Eeco,414299,26035,Petrol,2017,Maruti
963,Tata Tiago,476299,23499,Petrol,2018,Tata
964,Maruti Suzuki Baleno,572599,25636,Petrol,2016,Maruti
965,Kia Seltos,1644799,15023,Petrol,2019,Kia
966,Mahindra Jeep CL550,440000,250,Diesel,2020,Mahindra
967,Volkswagen Vento Highline,575000,66000,Petrol,2015,Volkswagen
968,Toyota Innova 2.5,880000,85000,Diesel,2015,Toyota
969,Kia Carnival,1500000,50000,Diesel,2020,Kia
970,Hyundai Creta,1000000,12000,Petrol,2021,Hyundai
971,Chevrolet Beat,86000,56000,Petrol,2011,Chevrolet
972,Maruti Suzuki Wagon,89000,53000,Petrol,2010,Maruti
973,Tata Nano CNG,90000,28000,Petrol,2014,Tata
974,Maruti Suzuki Alto,352199,22584,Petrol,2015,Maruti
975,Maruti Suzuki Baleno,566899,22394,Petrol,2017,Maruti
976,Maruti Suzuki Dzire,650699,93563,Diesel,2017,Maruti
977,Maruti Suzuki Eeco,413399,10537,Petrol,2017,Maruti
978,Ford Ecosport,645799,81515,Diesel,2016,Ford
979,Jeep Compass,1551499,24676,Diesel,2017,Jeep
980,Maruti Suzuki Alto,333699,11917,Petrol,2017,Maruti
981,Maruti Suzuki Ertiga,811799,69654,Diesel,2016,Maruti
982,Maruti Suzuki Alto,406899,16226,Petrol,2017,Maruti
983,Ford Ecosport,727299,8925,Petrol,2018,Ford
984,Honda Jazz,657399,27819,Petrol,2016,Honda
985,Hyundai Grand i10,637599,26543,Petrol,2020,Hyundai
986,Maruti Suzuki Dzire,623799,90088,Petrol,2017,Maruti
987,Maruti Suzuki Eeco,422899,34258,Petrol,2018,Maruti
988,Hyundai i20 Active,576099,101744,Petrol,2015,Hyundai
989,Jeep Compass,1987699,19830,Petrol,2019,Jeep
990,Ford Ikon,39000,73000,Petrol,2007,Ford
991,Hyundai Grand i10,475000,38000,Diesel,2019,Hyundai
992,Mahindra XUV 500,450000,87500,Diesel,2012,Mahindra
993,Maruti Suzuki Ertiga,650000,91000,Diesel,2014,Maruti
994,Maruti Suzuki Ritz,326000,76000,Diesel,2012,Maruti
995,Tata Indica Vista,170000,80000,Diesel,2011,Tata
996,Maruti Suzuki Eeco,250000,70000,CNG,2013,Maruti
997,Maruti Suzuki Alto,88000,85000,Petrol,2007,Maruti
998,MG Motors Hector,1652199,13636,Petrol,2019,MG
999,Hyundai Venue,1217499,21393,Petrol,2019,Hyundai
1000,Hyundai Creta,1198299,76915,Diesel,2017,Hyundai
1001,Hyundai Grand i10,590799,16300,Petrol,2018,Hyundai
1002,Hyundai Elite i20,844999,40106,Diesel,2019,Hyundai
1003,Renault Kwid RXT,328499,66461,Petrol,2015,Renault
1004,Hyundai Creta,769599,48182,Petrol,2016,Hyundai
1005,Hyundai Elite i20,654299,41816,Petrol,2017,Hyundai
1006,Hyundai i20,395699,73841,Petrol,2012,Hyundai
1007,Renault Kwid RxL,294799,19908,Petrol,2016,Renault
1008,Hyundai Elite i20,534499,26226,Petrol,2018,Hyundai
1009,Maruti Suzuki Baleno,681399,43287,Petrol,2016,Maruti
1010,Datsun Redi GO,415699,26527,Petrol,2018,Datsun
1011,Maruti Suzuki Alto,300199,37801,Petrol,2017,Maruti
1012,Maruti Suzuki Vitara,856699,54044,Diesel,2017,Maruti
1013,Ford Figo Aspire,481399,29632,Petrol,2017,Ford
1014,Mahindra Xylo D2,375000,115000,Diesel,2009,Mahindra
1015,Maruti Suzuki Eeco,525000,13000,Petrol,2020,Maruti
1016,Maruti Suzuki Swift,550000,42000,Diesel,2018,Maruti
1017,Hyundai i10 Magna,229000,65000,Petrol,2014,Hyundai
1018,Maruti Suzuki Alto,275000,60000,Petrol,2014,Maruti
1019,Jeep Compass Limited,1750000,31000,Diesel,2017,Jeep
1020,Jeep Compass Limited,1750000,31000,Diesel,2017,Jeep
1021,Jeep Compass Limited,1750000,31000,Diesel,2017,Jeep
