,Name,Price,Kms_driven,Fuel_type,Year,Company
174,Maruti Suzuki Wagon,610099,23425,Petrol,2019,Maruti
175,Maruti Suzuki Alto,452199,23056,Petrol,2018,Maruti
176,Hyundai Elite i20,712699,16102,Petrol,2019,Hyundai
177,Maruti Suzuki Vitara,838699,56615,Diesel,2019,Maruti
178,Mahindra TUV300,666899,70317,Diesel,2015,Mahindra
179,MG Motors Hector,1681899,6760,Petrol,2020,MG
180,MG Motors Hector,1854599,8870,Petrol,2020,MG
181,Maruti Suzuki Baleno,571499,78209,Petrol,2016,Maruti
182,Volkswagen Vento,589199,64292,Petrol,2015,Volkswagen
183,Toyota Innova Crysta,2350000,57000,Diesel,2020,Toyota
184,Toyota Fortuner,3650000,42000,Diesel,2019,Toyota
185,Toyota Innova 2.5,445000,141000,Diesel,2011,Toyota
186,Ssangyong Rexton RX7,1231000,82000,Diesel,2017,Ssangyong
187,Toyota Fortuner 3.0,1231000,117000,Diesel,2012,Toyota
188,Mahindra TUV300 T8,600000,70000,Diesel,2015,Mahindra
189,Hyundai i20 Magna,320000,89450,Diesel,2011,Hyundai
190,Maruti Suzuki Ertiga,1175000,29000,Petrol,2020,Maruti
191,Maruti Suzuki Alto,351699,58771,Petrol,2015,Maruti
192,Maruti Suzuki Alto,299199,53266,Petrol,2016,Maruti
193,Honda Amaze,657199,9200,Petrol,2019,Honda
194,Ford Ecosport,539299,61721,Petrol,2014,Ford
195,Hyundai Grand i10,608399,18333,Petrol,2017,Hyundai
196,Ford Ecosport,1042799,51780,Petrol,2019,Ford
197,Maruti Suzuki Baleno,645199,30854,Petrol,2018,Maruti
198,Ford Ecosport,811899,24680,Petrol,2017,Ford
199,Volkswagen Vento,557799,85663,Petrol,2015,Volkswagen
200,Mahindra Bolero,873999,20541,Diesel,2021,Mahindra
201,Hyundai i20 Magna,278299,64182,Petrol,2010,Hyundai
202,Maruti Suzuki S,986399,58819,Diesel,2017,Maruti
203,Maruti Suzuki Wagon,610099,32057,Petrol,2019,Maruti
204,Jeep Compass,1749899,18403,Petrol,2018,Jeep
205,Maruti Suzuki Alto,443899,7877,Petrol,2018,Maruti
206,Hyundai Verna 1.6,936299,15509,Petrol,2018,Hyundai
207,Honda Jazz VX,850000,15000,Petrol,2018,Honda
208,Maruti Suzuki Ignis,595000,75000,Diesel,2017,Maruti
209,Hyundai i10 Magna,175000,62000,Petrol,2008,Hyundai
210,Hyundai Creta 1.6,930000,134500,Diesel,2018,Hyundai
211,Toyota Fortuner 3.0,1500000,63896,Diesel,2012,Toyota
212,Mahindra Scorpio,159000,90000,Diesel,2005,Mahindra
213,Maruti Suzuki Alto,69000,58000,Petrol,2007,Maruti
214,Ford Ikon,69000,85000,Diesel,2008,Ford
215,Maruti Suzuki Baleno,580599,48329,Petrol,2016,Maruti
216,Renault Kwid RXT,404499,21301,Petrol,2019,Renault
217,Maruti Suzuki Vitara,838699,34566,Diesel,2019,Maruti
218,Renault Kwid,446499,34297,Petrol,2018,Renault
219,Tata Hexa,1047499,119571,Diesel,2017,Tata
220,Maruti Suzuki Alto,345599,27957,Petrol,2018,Maruti
221,Ford Ecosport,784399,27210,Petrol,2018,Ford
222,Maruti Suzuki Swift,489399,21610,Petrol,2014,Maruti
223,Maruti Suzuki Baleno,627499,40902,Petrol,2017,Maruti
224,Maruti Suzuki Alto,288399,11057,Petrol,2015,Maruti
225,Maruti Suzuki Baleno,573999,72505,Petrol,2016,Maruti
226,Hyundai Creta,1373699,31338,Petrol,2018,Hyundai
227,Maruti Suzuki Alto,279799,28674,Petrol,2016,Maruti
228,Hyundai Elite i20,658199,25416,Petrol,2018,Hyundai
229,Hyundai Grand i10,465499,14765,Petrol,2016,Hyundai
230,Toyota Etios,563999,60380,Diesel,2015,Toyota
231,Hyundai Santro,59000,85000,Petrol,2001,Hyundai
232,Hyundai Getz,119000,73000,Petrol,2006,Hyundai
233,Hyundai Santro Xing,69000,85000,Petrol,2004,Hyundai
234,Hyundai Santro,89000,85000,Petrol,2002,Hyundai
235,Ford Figo,129000,86000,Diesel,2012,Ford
236,Toyota Fortuner 2.8,2931000,55000,Diesel,2019,Toyota
237,Mahindra Bolero ZLX,790000,79950,Diesel,2018,Mahindra
238,Fiat Linea Emotion,200000,75000,Diesel,2009,Fiat
239,Maruti Suzuki Baleno,718699,19775,Petrol,2018,Maruti
240,Tata Tiago,543399,28495,Petrol,2018,Tata
241,Hyundai Creta,1780399,28344,Diesel,2020,Hyundai
242,Toyota Glanza,757999,10801,Petrol,2020,Toyota
243,Tata Nexon,1013999,4365,Petrol,2019,Tata
244,Maruti Suzuki Celerio,439999,53266,Diesel,2016,Maruti
245,Maruti Suzuki S,839199,50866,Diesel,2018,Maruti
246,Maruti Suzuki Alto,421799,24230,Petrol,2019,Maruti
247,Maruti Suzuki Baleno,580599,64275,Petrol,2016,Maruti
248,Hyundai Venue,986799,8924,Petrol,2019,Hyundai
249,MG Motors Hector,2057399,12208,Petrol,2021,MG
250,Honda City V,1082299,26956,Petrol,2018,Honda
251,Hyundai Grand i10,576999,12223,Petrol,2017,Hyundai
252,Hyundai Grand i10,533199,23960,Petrol,2016,Hyundai
253,Maruti Suzuki Wagon,473299,33687,Petrol,2015,Maruti
254,MG Motors Hector,1838399,24887,Petrol,2020,MG
255,Toyota Innova 2.5,800000,74000,Diesel,2013,Toyota
256,Nissan Micra XE,199000,40000,Petrol,2011,Nissan
257,Hyundai Creta 1.6,1750000,45000,Diesel,2020,Hyundai
258,Maruti Suzuki Swift,595000,41000,Diesel,2018,Maruti
259,BMW 3 Series,1890000,61000,Diesel,2015,BMW
260,Jaguar XF 2.2,2150000,20000,Diesel,2014,Jaguar
261,Hyundai Verna Fluidic,699000,26000,Petrol,2015,Hyundai
262,Hyundai Grand i10,451799,71423,Petrol,2015,Hyundai
263,Hyundai Grand i10,446999,34095,Petrol,2015,Hyundai
264,Maruti Suzuki Wagon,470799,32658,Petrol,2016,Maruti
265,Maruti Suzuki Ignis,511799,33166,Petrol,2017,Maruti
266,Maruti Suzuki Wagon,399899,31284,Petrol,2014,Maruti
267,Maruti Suzuki Wagon,375999,66090,Petrol,2015,Maruti
268,Ford Ecosport,664799,51295,Petrol,2016,Ford
269,Maruti Suzuki Baleno,617799,48693,Petrol,2016,Maruti
270,Maruti Suzuki Ciaz,749299,36626,Diesel,2017,Maruti
271,Renault Duster,795799,55752,Diesel,2016,Renault
272,Tata Tigor,543499,49341,Diesel,2017,Tata
273,Maruti Suzuki Alto,317199,60251,Petrol,2015,Maruti
274,Maruti Suzuki Alto,373699,22269,Petrol,2015,Maruti
275,Volkswagen Ameo,501799,38999,Petrol,2016,Volkswagen
276,Maruti Suzuki Vitara,838699,29110,Diesel,2019,Maruti
277,Hyundai Creta,1804399,14506,Petrol,2020,Hyundai
278,Chevrolet Beat LT,175000,55000,Petrol,2010,Chevrolet
279,Tata Hexa XM,1200000,60000,Diesel,2018,Tata
280,Toyota Corolla H5,170000,80000,Petrol,2006,Toyota
281,Maruti Suzuki Maruti,65000,108252,Petrol,2005,Maruti
282,Maruti Suzuki Wagon,360000,36000,Petrol,2014,Maruti
283,Hyundai Xcent 1.2,299000,95000,Diesel,2016,Hyundai
284,Ford Figo 1.5,176000,88000,Diesel,2010,Ford
285,Maruti Suzuki Wagon,325000,60000,Petrol,2014,Maruti
286,Hyundai Creta,1804399,14506,Petrol,2020,Hyundai
287,Maruti Suzuki S,985299,29115,Diesel,2017,Maruti
288,Maruti Suzuki Baleno,642899,34763,Petrol,2017,Maruti
289,Maruti Suzuki Ciaz,740000,12500,Diesel,2015,Maruti
290,Maruti Suzuki Baleno,610000,85000,Petrol,2017,Maruti
291,Hyundai Grand i10,495000,40000,Petrol,2016,Hyundai
292,Hyundai Verna 1.6,510000,71000,Petrol,2014,Hyundai
293,Maruti Suzuki Baleno,560000,44000,Petrol,2017,Maruti
294,Toyota Innova 2.0,455000,124000,Diesel,2009,Toyota
295,Maruti Suzuki Wagon,350000,78000,CNG,2012,Maruti
296,Renault Kwid CLIMBER,463099,44696,Petrol,2017,Renault
297,Maruti Suzuki Alto,350599,33004,Petrol,2018,Maruti
298,Hyundai Verna Fluidic,636299,46034,Petrol,2016,Hyundai
299,Hyundai Grand i10,698199,60307,Petrol,2020,Hyundai
300,Hyundai Grand i10,764199,8825,Petrol,2021,Hyundai
301,Maruti Suzuki Celerio,524799,5743,Petrol,2019,Maruti
302,Ford EcoSport Ambiente,420000,87000,Diesel,2013,Ford
303,Kia Seltos GTX,1831000,19500,Petrol,2020,Kia
304,Chevrolet Beat LS,210000,60000,Petrol,2010,Chevrolet
305,Volkswagen Vento Highline,465000,70000,Petrol,2013,Volkswagen
306,Audi Q7 35,2250000,65000,Diesel,2017,Audi
307,Maruti Suzuki Ertiga,1090000,35623,Petrol,2020,Maruti
308,Toyota Innova,375000,160000,Petrol,2005,Toyota
309,Hyundai i20 Sportz,225000,98500,Petrol,2009,Hyundai
310,Maruti Suzuki Celerio,524799,5743,Petrol,2019,Maruti
311,Maruti Suzuki Eeco,493899,25735,Petrol,2019,Maruti
312,Hyundai Elite i20,825299,37522,Petrol,2019,Hyundai
313,Maruti Suzuki Wagon,495499,38955,Petrol,2018,Maruti
314,Hyundai Eon Era,277599,65308,Petrol,2014,Hyundai
315,Maruti Suzuki Wagon,473899,30467,Petrol,2017,Maruti
316,Hyundai Venue S,855299,1954,Petrol,2019,Hyundai
317,Hyundai Santro 1.1,540299,35220,Petrol,2019,Hyundai
318,Hyundai Elite i20,642899,75876,Petrol,2016,Hyundai
319,Maruti Suzuki Alto,442299,27020,Petrol,2021,Maruti
320,Renault Triber 1.0,725399,13739,Petrol,2019,Renault
321,Maruti Suzuki Wagon,558299,21544,Petrol,2019,Maruti
322,Maruti Suzuki Alto,354299,13816,Petrol,2016,Maruti
323,Hyundai Elite i20,673599,23817,Petrol,2016,Hyundai
324,Hyundai Grand i10,525099,60985,Petrol,2017,Hyundai
325,Hyundai Verna SX,525000,80000,Diesel,2012,Hyundai
326,Volkswagen Polo Comfortline,675000,30123,Petrol,2018,Volkswagen
327,Renault Kwid RXT,325000,67000,Petrol,2016,Renault
328,Renault Triber RXT,645000,26123,Petrol,2020,Renault
329,Maruti Suzuki Ertiga,785000,60123,Petrol,2017,Maruti
330,Mahindra TUV300 T8,690000,52123,Diesel,2016,Mahindra
331,Maruti Suzuki Celerio,425000,11123,Petrol,2018,Maruti
332,Hyundai Elite i20,645000,41233,Petrol,2019,Hyundai
333,Maruti Suzuki Swift,529699,50141,Petrol,2016,Maruti
334,Maruti Suzuki Ertiga,1081899,86033,Diesel,2018,Maruti
335,Fiat Linea Dynamic,256000,30000,Petrol,2012,Fiat
336,Honda City ZX,290000,86924,Petrol,2008,Honda
337,Volkswagen Polo GT,735000,68870,Petrol,2016,Volkswagen
338,Maruti Suzuki XL6,1244799,22292,Petrol,2019,Maruti
339,Honda Amaze,474399,44013,Petrol,2014,Honda
340,Maruti Suzuki Wagon,389399,96250,Petrol,2016,Maruti
341,Maruti Suzuki Swift,562399,59839,Petrol,2017,Maruti
342,Hyundai Grand i10,446699,49693,Petrol,2015,Hyundai
343,Renault Kwid RXT,439999,22223,Petrol,2017,Renault
344,Honda Amaze,918999,8030,Petrol,2021,Honda
345,Volkswagen Polo,815799,38780,Petrol,2016,Volkswagen
346,Maruti Suzuki Vitara,896799,31919,Diesel,2018,Maruti
347,Hyundai i10 Sportz,411399,47564,Petrol,2015,Hyundai
348,Hyundai Grand i10,498999,42836,Petrol,2013,Hyundai
349,Renault Kwid RXT,470000,6000,Petrol,2020,Renault
350,Tata Indica,69000,85000,Diesel,2007,Tata
351,Mahindra TUV300 T8,925000,27000,Diesel,2018,Mahindra
352,Mahindra Scorpio LX,495000,690000,Diesel,2013,Mahindra
353,Maruti Suzuki Ertiga,1090000,35000,Petrol,2020,Maruti
354,Toyota Etios Liva,300000,135000,Diesel,2013,Toyota
355,Tata Aria Prestige,450000,115000,Diesel,2012,Tata
356,Ford Figo,357999,50488,Petrol,2015,Ford
357,Maruti Suzuki Ignis,462599,12916,Petrol,2018,Maruti
358,Hyundai Elite i20,695199,30731,Petrol,2016,Hyundai
359,Maruti Suzuki Eeco,490399,8825,Petrol,2019,Maruti
360,Renault Kwid RxL,340099,21627,Petrol,2016,Renault
361,Maruti Suzuki Ertiga,997899,5580,Petrol,2020,Maruti
362,Hyundai i10 Sportz,351599,41371,Petrol,2013,Hyundai
363,Maruti Suzuki Swift,603799,42313,Petrol,2016,Maruti
